scene,status,ssim,chains,particles,animated,render_ms
1069166728,ok,0.8877,1,2,True,3.3
1096022497,ok,0.6544,1,2,True,4.9
1105074783,ok,0.9736,1,12,True,4.2
1113575639,ok,0.5747,1,0,True,4.7
1120440003,ok,0.6338,0,4,True,4.6
1121119544,ok,0.895,1,0,True,12.7
1130661944,ok,0.7115,1,2,True,4.7
1139304621,ok,0.7328,1,1,True,4.1
1142800513,ok,0.6239,2,21,True,4.8
1144891270,ok,0.6055,2,2,True,5.6
1153085035,ok,0.6861,0,1,True,6.3
1169777106,ok,0.6606,1,1,True,4.8
1182917082,ok,0.5695,4,4,True,5.2
1198541750,ok,0.6243,0,3,True,4.5
1207383996,ok,0.9203,1,1,True,4.3
1211713107,ok,0.7088,1,4,True,4.5
1215089363,ok,0.7139,1,8,True,4.6
1229773489,ok,0.8845,1,0,True,4.5
1271078093,ok,0.6697,0,5,True,4.8
1275904277,ok,0.9477,0,4,True,4.3
1293032482,ok,0.6283,0,12,True,4.6
1305154070,ok,0.6049,0,1,True,3.1
1320636861,ok,0.8299,1,0,True,3.3
1335301903,ok,0.7136,1,1,True,5.1
1351233547,ok,0.584,1,0,True,4.2
1351546743,ok,0.5821,1,15,True,4.6
1355641933,ok,0.5922,0,2,True,5.0
1358904934,ok,0.7426,0,5,True,4.6
1361298253,ok,0.8779,1,0,True,5.1
1368132599,ok,0.7868,3,2,True,4.6
1375031246,ok,0.7095,1,10,True,4.8
1379059795,ok,0.8738,0,5,True,3.9
1388844155,ok,0.735,1,0,True,4.3
1400033648,ok,0.7089,2,8,True,4.7
1405170788,ok,0.7332,1,0,True,4.8
1406075299,ok,0.6956,0,12,True,4.8
1411359460,ok,0.6606,1,2,True,5.3
1412890954,ok,0.7073,2,5,True,5.7
1415650826,ok,0.7866,0,5,True,3.9
1417608778,ok,0.8873,0,1,True,3.8
1417959651,ok,0.795,2,2,True,5.1
1425335979,ok,0.62,1,1,True,4.4
1433247985,ok,0.7237,1,4,True,5.9
1436548880,ok,0.7106,0,0,True,1.9
1438794216,ok,0.6802,0,3,True,4.6
1438975539,ok,0.6794,1,2,True,4.2
1442092399,ok,0.7662,0,0,True,2.1
1442116244,ok,0.8244,0,0,True,2.1
1444077782,ok,0.5758,12,55,True,6.8
1446687537,ok,0.8065,0,3,True,5.9
1454130473,ok,0.7903,1,5,True,4.7
1467112935,ok,0.8527,1,7,True,4.3
1467589139,ok,0.7007,6,1,True,5.0
1467792879,ok,0.7354,1,1,True,3.5
1480598030,ok,0.7393,0,0,False,1.4
1485268204,ok,0.8346,0,2,True,4.1
1486742128,ok,0.7234,9,9,True,8.3
1487552281,ok,0.6058,1,21,True,4.6
1502531221,ok,0.7152,1,4,True,4.7
1511860257,ok,0.6907,1,26,True,4.5
1518255981,ok,0.8246,1,0,True,4.2
1521346180,ok,0.7079,1,1,True,4.6
1532186954,ok,0.663,1,5,True,6.0
1537391845,ok,0.7092,2,7,True,4.5
1539256728,ok,0.827,1,0,True,4.9
1551075800,ok,0.8282,1,7,True,6.0
1556855790,ok,0.6677,0,0,False,1.3
1560102318,ok,0.7836,1,1,True,5.6
1566038186,ok,0.9925,1,2,True,1.7
1576060733,ok,0.5969,1,1,True,5.1
1581962029,ok,0.7147,1,4,True,4.6
1587406889,ok,0.9188,1,2,True,1.8
1589742536,ok,0.6881,1,2,True,4.5
1601504144,ok,0.77,3,0,True,4.7
1607205505,ok,0.7852,1,2,True,4.3
1609085333,ok,0.6021,0,9,True,4.9
1621194763,ok,0.678,1,1,True,4.4
1622303430,ok,0.6497,1,1,True,4.1
1626628010,ok,0.5595,1,11,True,4.7
1627499103,ok,0.8241,4,2,True,4.5
1641628397,ok,0.7984,1,2,True,3.7
1644294947,ok,0.7008,1,2,True,5.0
1650948002,ok,0.6345,1,11,True,4.8
1661229952,ok,0.661,1,9,True,5.4
1671029820,ok,0.9666,1,1,True,5.5
1675095968,ok,0.7312,0,3,True,4.1
1682818465,ok,0.7396,0,4,True,6.0
1685937870,ok,0.9745,1,0,True,4.6
1697751839,ok,0.9672,1,9,True,3.7
1699243252,ok,0.8995,1,0,True,4.6
1701378688,ok,0.8423,1,5,True,4.9
1704469491,ok,0.821,1,0,True,4.4
1721043273,ok,0.6027,4,11,True,4.7
1746625389,ok,0.7542,1,3,True,4.8
1749126207,ok,0.7516,1,7,True,5.9
1755028317,ok,0.713,1,0,True,5.4
1773966488,ok,0.6374,0,4,True,5.3
1774999551,ok,0.6805,1,1,True,6.6
1777466860,ok,0.58,1,10,True,5.1
1777624579,ok,0.6532,0,2,True,4.8
1782383238,ok,0.8281,1,6,True,5.8
1785784637,ok,0.8533,1,2,True,4.8
1787260897,ok,0.6285,3,2,True,5.4
1796304942,ok,0.7186,1,2,True,4.8
1803493586,ok,0.6898,1,1,True,5.8
1803742669,ok,0.8229,0,37,True,5.7
1807445174,ok,0.8265,0,11,True,4.3
1820702991,ok,0.7823,0,0,False,1.4
1820832939,ok,0.8342,0,3,True,5.3
1821299871,ok,0.6268,1,1,True,4.9
1821723798,ok,0.6487,0,1,True,4.8
1822973443,ok,0.6299,1,7,True,4.9
1836924050,ok,0.684,1,12,True,9.4
1845771162,ok,0.792,0,9,True,4.6
1864018545,ok,0.6464,0,0,False,0.6
1864236873,ok,0.7557,1,5,True,4.2
1869909692,ok,0.6123,0,0,False,1.8
1883906261,ok,0.7399,1,2,True,8.8
1884904087,ok,0.697,1,1,True,5.8
1891140885,ok,0.807,0,4,True,4.6
1891637175,ok,0.8322,1,1,True,2.0
1894350748,ok,0.8375,1,5,True,4.7
1895828809,ok,0.8875,4,4,True,4.3
1896390878,ok,0.7622,1,17,True,5.1
1916606073,ok,0.7036,3,0,True,5.7
1918995622,ok,0.6551,1,2,True,4.5
1924444502,ok,0.6004,0,0,False,1.8
1938056791,ok,0.6051,2,3,True,5.2
1939730244,ok,0.7758,1,0,True,5.9
1940406000,ok,0.8179,1,22,True,5.3
1941080435,ok,0.8145,1,2,True,5.3
1948961570,ok,0.8457,1,4,True,4.8
1951835990,ok,0.8114,1,11,True,4.4
1953144646,ok,0.6851,0,3,True,6.8
1959836574,ok,0.6636,0,11,True,5.6
1967231918,ok,0.7202,1,3,True,5.2
1976247235,ok,0.5669,0,4,True,4.1
1977194280,ok,0.6848,1,3,True,5.0
1977942743,ok,0.6644,2,7,True,9.7
1980759773,ok,0.7472,1,0,True,5.3
1989351128,ok,0.6799,1,5,True,4.3
2003515717,ok,0.7095,1,2,True,6.0
2004695906,ok,0.6604,0,1,True,4.3
2009583253,ok,0.8269,0,2,True,5.5
2013283809,ok,0.7347,1,1,True,5.2
2021828900,ok,0.7715,6,12,True,9.6
2028172205,ok,0.8423,1,1,True,4.6
2040218527,ok,0.712,1,7,True,5.2
2040797956,ok,0.5747,0,6,True,4.7
2055452753,ok,0.7065,1,0,True,5.2
2055454406,ok,0.744,1,0,True,4.4
2057951800,ok,0.7591,1,2,True,5.4
2069169291,ok,0.7615,1,3,True,4.1
2075127892,ok,0.7589,0,3,True,4.4
2078716698,ok,0.7188,0,8,True,5.2
